Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Você quer ser rico?	{VOCÊ QUERER RICO}(q)
Essa janela não vai travar.	JANELA ESSE TRAVAR (NÃO)
Essa janela não vai abrir.	JANELA ESSE ABRIR (NÃO)
Essa janela não vai fechar.	JANELA ESSE FECHAR (NÃO)
Nossas cidades criam sérios problemas de poluição.	SÉRIOS CIDADES POLUIÇÃO PROBLEMA NOSSO CRIAR
Eu mal podia trabalhar.	MAL EU TRABALHAR PODER
Você deve fazer o que te mandam.	VOCÊ TU O FAZER DEVER MANDAR
A questão é onde devemos estacionar o carro.	ESPERA AÍ QUESTÃO CARRO DEVER ESTACIONAR
Eu conseguia tocar piano muito bem.	BEM EU PIANO TOCAR CONSEGUIR
Ela não pode ter chegado tão cedo.	CEDO ELE TÃO CHEGAR PODER (NÃO)
Por que o advogado perdeu na argumentação?	{ADVOGADO ARGUMENTAÇÃO PERDER}(q)
Fale comigo assim que você chegar aqui.	ASSIM VOCÊ AQUI CHEGAR FALIR
O Dr. Hellebrandt é um professor associado naquela excelente universidade.	PROFESSOR AQUELE DR. HELLEBRANDT EXCELENTE UNIVERSIDADE ASSOCIAR
Você disse isso outro dia, não foi?	{OUTRO VOCÊ ISSO DIA DIZER IR NÃO}(q)
Suas ideias são bem antiquadas.	BEM PENSAR SEU ANTIQUAR
Construíram igrejas por toda a ilha.	ILHA IGREJA TODA A ELES CONSTRUIR
Se ele não aparecer, não teremos a prova de inglês.	ELE PROVA INGLÊS NÃO_TER APARECER {NÃO}(headshake)
Se ele estiver ausente, não teremos o teste de inglês.	SE ELE AUSENTE TESTE NÃO_TER {NÃO}(headshake)
Tanto faz você queimar o seu dinheiro ou gastá-lo em loterias.	TANTO VOCÊ SEU QUEIMAR DINHEIRO FAZER OU LOTERIAS GASTAR
Você não veio para a escola ontem.	ONTEM VOCÊ ESCOLA VIR (NÃO)
Eu vi um número com animais maravilhoso no circo.	MARAVILHOSO EU NÚMERO ANIMAIS CIRCO VER
Meu irmão é um bom jogador de tênis.	IRMÃO JOGADOR BOM TÊNIS MEU
Meu irmão é bom no tênis.	IRMÃO TÊNIS MEU
Ele é um homem no qual pode se confiar.	ELE HOMEM CONFIAR PODER
Eles enviaram um balão de propaganda.	ELES BALÃO PROPAGANDA ENVIAR
Fique aqui e espere por ele, por favor.	AQUI ELE FICAR SÓ FAVOR DELE ELE ESPERAR
Ela é uma pessoa muito interessante.	ELE PESSOA INTERESSANTE
Você leva uma hora para ir a pé para a estação.	VOCÊ IR HORA PÉ ESTAÇÃO LEVAR
O café da manhã está pronto?	{CAFÉ MANHÃ PRONTO}(q)
O homem que eu estava esperando não apareceu.	HOMEM EU ESPERAR APARECER (NÃO)
O homem que eu estava esperando não veio.	HOMEM EU ESPERAR VIR (NÃO)
Eu vou tentar explicar isso da melhor maneira que eu consigo.	EU EU MANEIRA ISSO EXPLICAR TENTAR CONSEGUIR
O diretor aprovou nosso plano.	DIRETOR PLANO NOSSO APROVAR
Ele teve um bom momento no restaurante.	BOM ELE MOMENTO RESTAURANTE TER
Eu me envolvi recentemente num acidente de carro.	RECENTE EU ACIDENTE EU CARRO ENVOLVER
Um milhão de pessoas perderam as suas vidas na guerra.	GUERRA PESSOA VIDA SEU ELES PERDER
Eles me fizeram pensar que não havia perigo.	ELES EU PENSAR FAZER HAVER (NÃO)
Ele terminou o trabalho completamente.	COMPLETAMENTE ELE TRABALHO TERMINAR
O chá é muito cultivado na Índia.	CHÁ ÍNDIA CULTIVAR
Logo chegará um tempo em que qualquer um pode viajar no espaço.	LOGO QUALQUER 1 TEMPO ESPAÇO ELE CHEGAR VIAJAR PODER
A companhia fará uma apresentação do novo modelo amanhã.	AMANHÃ NOVO COMPANHIA APRESENTAÇÃO MODELO FAZER
Por favor, me diga quando será a próxima reunião.	EU DIZER QUANDO PRÓXIMO REUNIÃO
Nosso mundo está ficando cada vez menor.	CADA VEZ MENOR MUNDO NOSSO FICAR
George não pesa menos do que 70 quilos.	GEORGE MENOS DO QUE 70 QUILO PESAR (NÃO)
Eu fiquei em casa porque eu estava com um forte resfriado.	EU PORQUE EU FICAR CASA FORTE RESFRIADO
Nós todos tentamos nos reunir pelo menos uma vez ao ano.	PELO MENOS NÓS NÓS TODO REUNIR UMA VEZ ANO TENTAR
Muitíssimo obrigado pelo maravilhoso jantar de ontem.	ONTEM EU PELAR MARAVILHOSO MUITO OBRIGADO JANTAR PELAR
Isso me absolve das responsabilidades restantes.	RESTANTES ISSO RESPONSABILIDADES EU ABSOLVER
Isso me livra de quaisquer outras responsabilidades.	ISSO QUALQUER OUTRO RESPONSABILIDADES EU LIVRAR
Partículas diminutas são dificilmente visíveis a olho nu.	DIFICILMENTE PARTÍCULAS NU VISÍVEIS OLHO
Nós demos comida a essas famílias.	NÓS ESSE FAMÍLIAS DAR
Ela caiu em prantos.	ELE PRANTOS CAIR
Eu tenho dor de estômago.	EU DOR ESTÔMAGO TER
As vítimas da enchente foram abrigadas em várias escolas.	VÍTIMAS VÁRIOS ENCHENTE ESCOLAS ABRIGAR
O que acha de uma outra rodada?	{O OUTRO RODADA ACHAR}(q)
Eu sempre leio a página de esportes primeiro.	SEMPRE PRIMEIRO EU PÁGINA ESPORTES LER
Sam, não!	SAM
Meu pai está ocupado como sempre.	SEMPRE COMO PAI MEU
A chuva durou cinco dias.	CHUVA DIA 5 DURAR
Os porões das casas provavelmente terão problemas.	PROVAVELMENTE PORÕES CASA PROBLEMA TER
O conhecido deve ser separado do desconhecido.	CONHECER DESCONHECER SEPARAR ELE DEVER
Quando observo o oceano eu me sinto em paz.	QUANDO EU SENTIR OCEANO EU PAZ OBSERVAR
Ele ficou atrás de sua mãe.	ELE MÃE SEU FICAR
Ele ficou atrás da mãe dele.	ATRÁS DELE MÃE DELE FICAR
A maior parte do nosso comportamento é aprendido.	MAIOR PARTE COMPORTAMENTO NOSSO APRENDER
A garota me cumprimentou com um sorriso.	MULHER GAROTO SORRISO EU CUMPRIMENTAR
A arma disparou por acidente.	ARMA ACIDENTE DISPARAR
A porta não podia ser aberta.	PORTA ABERTO PODER (NÃO)
A porta não abriria.	PORTA ABRIR (NÃO)
A morte vem para todos os homens.	MORTE TODO HOMEM VIR
Tudo que você tem que fazer é colocar no papel.	QUE TUDO VOCÊ PAPEL COLOCAR FAZER
Um cochilo de algumas horas vai te fazer bem.	BEM COCHILO ALGUM HORAS FAZER
Eu testarei sua coragem.	EU CORAGEM SEU TESTAR
Você tem um bom senso de humor.	VOCÊ BOM HUMOR TER
Nós usamos gestos, assim como palavras, para nos comunicarmos com os outros.	NÓS PALAVRAS OUTROS GESTOS NÓS COMUNICAR USAR
Quero viajar para a Lua.	LUA VIAJAR QUERER
Eu tive que julgar por mim mesmo.	MESMO EU EU JULGAR
Ele morreu de repente de ataque do coração.	ELE REPENTE ATAQUE CORAÇÃO MORRER
Você logo vai se adaptar a essa nova vida.	LOGO NOVO VOCÊ ESSE VIDA ADAPTAR
Olhe o mapa na página 25.	MAPA PÁGINA 25 ELE OLHAR
Olhe o mapa na pág. 25.	MAPA MULHER PÁG. ELE OLHAR 25
Ela teve seu chapéu arrancado pela forte ventania.	ELE CHAPÉU FORTE VENTANIA SEU TER ARRANCAR
Ele disse que não conhecia o homem, o que era uma mentira.	ELE DIZER HOMEM O MENTIRA CONHECER (NÃO)
Nós tivemos um bom sono.	BOM NÓS SONO TER
Ele me ajudou a carregar a bagagem.	ELE BAGAGEM EU CARREGAR AJUDAR
Eu gostaria que esse carro fosse consertado o mais rápido possível.	EU ESSE CARRO RÁPIDO POSSÍVEL MAIS GOSTAR
Era muito difícil.	DIFÍCIL
Foi um grande choque para mim.	GRANDE CHOQUE EU IR
Eu me considero feliz por ter uma esposa tão devotada.	TÃO EU EU FELIZ TER MULHER ESPOSO DEVOTAR CONSIDERAR
O meu desejo é conquistar essa montanha.	DESEJO MEU ESSE MONTANHA
Ele pediu desculpas por estar atrasado.	ELE DESCULPAS PEDIR ATRASAR
O concerto foi um grande sucesso.	CONCERTO GRANDE SUCESSO IR
O show foi um grande sucesso.	SHOW GRANDE SUCESSO IR
Quantas vezes por semana coletam lixo nessa cidade?	ESSE SEMANA MULHER VEZ LIXO CIDADE COLETAM QUANTAS (NÃO)
Eu quero viver para sempre.	SEMPRE EU VIVER QUERER
Eu quero viver eternamente.	ETERNO EU VIVER QUERER
A carta parece forçada, e o que é pior, mentirosa.	CARTA FORÇAR PARECER SÓ PIOR O MENTIROSO
Essas folhas verdes se tornam vermelhas ou amarelas no outono.	VERDES ESSE FOLHAS VERMELHAS OU AMARELAS OUTONO TORNAR
Eu tenho um filho e uma filha. Ele está em Nova York e ela em Londres.	EU FILHO SÓ MULHER FILHO TER ELE ELE NOVA YORK SÓ LONDRES
O inverno está chegando.	INVERNO CHEGAR
Ele é o responsável pelo acidente.	ELE RESPONSÁVEL ACIDENTE
O gosto da minha mulher para vestidos é contrário ao meu.	GOSTO MEU VESTIDOS MULHER CONTRÁRIO MEU
Parece que ele é músico.	ELE MÚSICO PARECER
Estou com meu amigo na linha nesse instante.	MEU ESSE AMIGO LINHA INSTANTE
Este e aquele são duas estórias diferentes.	ESTE SÓ AQUELE 2 ESTÓRIA DIFERENTE
O belo tempo aumentou nosso prazer.	BELO TEMPO PRAZER NOSSO AUMENTAR
Um de nós dois deve participar da reunião.	2 NÓS REUNIÃO PARTICIPAR DEVER
Você seria um bom diplomata.	VOCÊ BOM DIPLOMATA
Ele acordou mais cedo do que de costume.	CEDO ELE DO QUE MAIS COSTUME ACORDAR
Ele levantou mais cedo que o normal.	CEDO ELE NORMAL MAIS LEVANTAR
Eu levaria tempo demais para lhe explicar porque não vai funcionar.	DEMAIS PORQUE EU TEMPO LHE FUNCIONAR LEVAR EXPLICAR (NÃO)
Eu estava planejando ir à praia hoje, mas então começou a chover.	HOJE EU PRAIA IR PLANEJANDO MAS ENTÃO CHOVER COMEÇAR
Ele pode fazer isso bem melhor do que eu.	BEM ELE ISSO MELHOR DO QUE EU FAZER PODER
Ninguém pode me parar!	NINGUÉM EU PARAR PODER
Ninguém me segura!	NINGUÉM EU SEGURAR
Ela leu um livro de receitas ontem à noite.	ONTEM ELE LIVRO RECEITAS NOITE LER
Ele pode até ter discutido com a esposa, mas ele não pode ter batido nela.	ELE MULHER ESPOSO DISCUTIR PODER MAS ELE ELE BATER PODER (NÃO)
Todos os membros do gabinete estavam presentes.	GABINETE TODO MEMBROS PRESENTES
Eu não consegui não rir do corte de cabelo dele.	EU CORTE CABELO DELE DELE RIR NÃO CONSEGUIR (NÃO)
Não consigo tirá-la da cabeça.	CABEÇA TIRAR EU CONSEGUIR (NÃO)
Meu pai estava ocupado.	PAI MEU OCUPAR
Ele se escondeu atrás da porta.	ATRÁS ELE PORTA ESCONDER
Nós podíamos ver o reflexo das montanhas no lago.	NÓS REFLEXO MONTANHAS LAGO VER PODER
O que você quer dizer?	{QUER DIZER VOCÊ O}(q)
Não está claro se Lander quis alterar o estilo de Emmet desde o começo.	LANDER SE CLARO QUERER ESTILO EMMET ALTERAR (NÃO)
Eu espero que a gente consiga manter contato.	EU GENTE CONTATO CONSEGUIR MANTER ESPERAR
Eu espero que nós consigamos manter contato.	EU NÓS CONTATO CONSEGUIR MANTER ESPERAR
Eu gostaria de melhorar minha pronúncia de inglês.	EU PRONÚNCIA INGLÊS MEU MELHORAR GOSTAR
Meu pai foi da marinha.	PAI MARINHA MEU IR
Ele mal pode escrever seu nome.	MAL ELE SEU PESSOA ESCREVER PODER
O que você está aprendendo na escola?	{O VOCÊ ESCOLA APRENDER}(q)
Leitura extensiva é tão importante quanto leitura intensiva.	LEITURA IMPORTANTE INTENSIVO LEITURA
Eu não posso responder tantas perguntas de uma só vez.	EU TANTO SÓ VEZ PERGUNTAS RESPONDER PODER (NÃO)
Sally encontrou Harry na estação.	SALLY HARRY ESTAÇÃO ENCONTRAR
Sally se encontrou com Harry na estação.	SALLY HARRY ESTAÇÃO ENCONTRAR
Por favor me dê um pedaço de pão.	PEDAÇO EU PÃO DAR
Ela toca piano?	{ELE PIANO TOCAR}(q)
O garoto desmontou o rádio.	GAROTO RÁDIO DESMONTAR
Eu estou indo ver um filme de terror.	EU FILME TERROR VER IR
Eu verei um filme de terror.	EU FILME TERROR VER
Ele começou a falar inglês.	ELE INGLÊS FALAR COMEÇAR
Eles têm sido bons vizinhos até hoje.	HOJE ELES BOM VIZINHOS
Meninos têm suas próprias bicicletas nos tempos de hoje.	HOJE PRÓPRIAS MENINOS BICICLETAS TEMPOS SEU TER
Ele é sempre gentil com os animais.	SEMPRE ELE GENTIL ANIMAIS
As luzes se apagaram nesse instante.	MULHER LUZ ESSE INSTANTE APAGAR
As luzes se apagaram agorinha.	MULHER LUZ AGORINHA APAGAR
Se você tiver muito dinheiro, você ficará com medo.	SE VOCÊ VOCÊ MEDO TER DINHEIRO FICAR
Nós tínhamos seis convidados para o jantar.	NÓS CONVIDADO 6 JANTAR TER
Você gosta mais da nova escola?	{NOVO VOCÊ ESCOLA MAIS GOSTAR}(q)
Kate está com um resfriado.	KATE RESFRIADO
Kate está resfriada.	KATE RESFRIAR
Eles não tratam de assuntos políticos.	POLÍTICO ELES ASSUNTOS TRATAR (NÃO)
Ele parece ter sido um grande esportista.	ELE PARECER ESPORTISTA GRANDE
Algum conhecimento de línguas estrangeiras, de espanhol em particular, é essencial.	ALGUM CONHECIMENTO ESPANHOL LÍNGUAS PARTICULAR ESSENCIAL
Você tem planos?	{VOCÊ PLANOS TER}(q)
Um experimento, eu aprenderia muito mais tarde, quando estudava a filosofia da ciência, tinha que surgir de uma real insatisfação com o conhecimento atual.	TARDE EXPERIMENTO EU MAIS APRENDER QUANDO FILOSOFIA REAL CIÊNCIA CONHECIMENTO ATUAL INSATISFAÇÃO ESTUDAR
Ele pulou da janela.	ELE JANELA PULAR
Eu entrei nessa escola dois anos atrás.	ATRÁS EU ESSE 2 ESCOLA ANO ENTRAR
Regue as flores antes de você tomar café da manhã.	ANTES VOCÊ MULHER FLOR CAFÉ MANHÃ TOMAR REGAR
Atualmente todos estão felizes.	ATUAL TODO FELIZES
Nós fizemos fila para entrar no ônibus.	NÓS FILA ÔNIBUS FAZER
Ele não trabalha mais aqui.	AQUI ELE MAIS TRABALHAR (NÃO)
É falta de educação falar com a sua boca cheia.	FALTAR EDUCAÇÃO CHEIO BOCA SEU
Vamos terminar isso agora.	AGORA ISSO TERMINAR
Meu irmão pequeno tem doze anos.	PEQUENO IRMÃO MEU 12 ANO TER
"Posso usar o seu lápis?" "Claro, vá em frente."	LÁPIS SEU USAR EU PODER CLARO FRENTE EU IR
Um mal trabalhador reclama de suas ferramentas.	MAL TRABALHADOR FERRAMENTAS SEU ELE RECLAMAR
Eu ainda não o conheço.	EU O CONHECER AINDA_{NÃO}(headshake)
Eu não o encontrei.	EU O ENCONTRAR (NÃO)
A grama está com uma boa aparência.	GRAMA BOM APARÊNCIA
Você gosta de maçãs ou de laranjas?	{VOCÊ MAÇÃS OU LARANJAS GOSTAR}(q)
Eu preciso de uma mala. Você me empresta uma?	{EU PRECISO MALA VOCÊ EU EMPRESTAR}(q)
Eu achei a figura interessante.	INTERESSANTE EU FIGURA ACHAR
Nós queremos ser internacionais.	NÓS INTERNACIONAIS QUERER
Esse tipo de vestido agora está na moda.	AGORA ESSE TIPO VESTIDO MODA
Ele perguntou se eu gostava de comida chinesa.	ELE SE EU GOSTAR CHINÊS COMIDA PERGUNTAR
Eu não li o romance dele e meu irmão também não.	EU MEU SÓ ROMANCE IRMÃO DELE AINDA_NÃO LER {NÃO}(headshake)
Eu já estive em Sapporo.	EU SAPPORO
Eu insisto que você esteja presente.	EU VOCÊ PRESENTE INSISTIR
Eu vejo algumas pessoas andando pela rua.	EU ALGUM RUA PESSOA VER ANDAR
Eu tenho certeza de que ela não virá te ver.	ELE EU CERTEZA TU TER VER VIR (NÃO)
Paul foi para a festa no lugar do seu pai.	PAUL LUGAR FESTA PAI SEU IR
Ele não está muito melhor e não há muita esperança de recuperação.	ELE MELHOR SÓ ESPERANÇA RECUPERAÇÃO MUITA HAVER (NÃO)
Você conhece a cidade em que ele vive?	{VOCÊ ELE CIDADE CONHECER VIVER}(q)
Oh, eu não sei se concordo com você.	OH EU CONCORDAR VOCÊ NÃO_SABER {NÃO}(headshake)
Agora eu coloco essa carta no chapéu. Viu?	{AGORA EU ESSE CARTA CHAPÉU COLOCAR ELE VER}(q)
Você tem um cardápio especial para vegetarianos?	{ESPECIAL VOCÊ VEGETARIANOS CARDÁPIO TER}(q)
Ele se tornou um belo rapaz.	RAPAZ ELE BELO TORNAR
Ele é desajeitado em seus movimentos.	ELE MOVIMENTOS SEU DESAJEITAR
Ele anunciou o próximo cantor.	PRÓXIMO ELE CANTOR ANUNCIAR
Ele anunciou a próxima cantora.	PRÓXIMO ELE MULHER CANTOR ANUNCIAR
Habilidades linguísticas são natas, não adquiridas.	HABILIDADES NATAS ADQUIRIR (NÃO)
Eu imaginei se eu conseguiria fazer tal coisa.	EU SE EU TAL COISA CONSEGUIR FAZER IMAGINAR
Aqui estão 5 dólares.	AQUI DÓLAR 5
O que é aquilo?	{O AQUILO}(q)
Informado sobre a segurança deles, o primeiro ministro deu um suspiro de alívio.	PRIMEIRO MINISTRO INFORMAR ELES SEGURANÇA SUSPIRO ALÍVIO DAR
Ela abriu e deixou a porta aberta.	ELE ABRIR SÓ ABERTO PORTA ELE DEIXAR
O médico me proibiu de participar da maratona.	MÉDICO EU MARATONA PARTICIPAR PROIBIR
Você tem um endereço?	{VOCÊ ENDEREÇO TER}(q)
Eu gostaria de viajar sozinho.	EU SÓ VIAJAR GOSTAR
Eu queria viajar só.	SÓ EU VIAJAR QUERER
Ela me pediu para encontrá-la na estação.	ELE EU ESTAÇÃO ENCONTRAR PEDIR
As nuvens estão se separando.	MULHER NUVEM SEPARAR
Você está dando muito duro. Pegue leve por um tempo.	VOCÊ DURO DAR ELE PEGAR LEVE TEMPO
Levando só a gramática em conta, sua composição está correta.	SÓ COMPOSIÇÃO SEU LEVAR GRAMÁTICA CONTA CORRETAR
Tal comportamento pode causar um acidente.	TAL COMPORTAMENTO ACIDENTE CAUSAR PODER
Eu gosto dessa casa porque ela é bem confortável.	BEM EU PORQUE ELE CONFORTÁVEL CASA
Eu tinha minhas dúvidas, mas essa última conversa removeu todas.	EU DÚVIDAS MEU TER MAS ÚLTIMO ESSE CONVERSA TODAS REMOVER
Esse livro é fácil de ler para mim.	ESSE FÁCIL EU LER
Ele viveu uma vida infeliz.	INFELIZ ELE VIDA VIVER
Eu gostaria de ser milionário.	EU MILIONÁRIO GOSTAR
Eu vi uma mulher que eu pensava ser a mãe de Mary.	EU EU VER MULHER MÃE MARY PENSAR
Todo hospital tem um gerador elétrico de segurança para o caso de faltar energia.	TODO HOSPITAL SEGURANÇA GERADOR CASO ENERGIA TER FALTAR
O carro bateu no caminhão.	CARRO CAMINHÃO BATER
Não interfira em assuntos que não tem a ver com você!	ASSUNTOS VER NÃO_TER INTERFERIR {NÃO}(headshake)
A criança quase se afogou.	QUASE CRIANÇA AFOGAR
Parece que ele nunca sente frio.	ELE SENTIR PARECER NUNCA NÃO
Onde está o meu livro?	LIVRO MEU ESPERA AÍ (NÃO)
Permita-me apresentar Mayuko para você.	EU MAYUKO VOCÊ APRESENTAR PERMITIR
Você estava gritando com ela e eu não gosto disso.	VOCÊ ELE GRITAR SÓ EU ISSO GOSTAR (NÃO)
Dr. Smith tem muitos pacientes.	DR. SMITH PACIENTES MUITOS TER
Nem todos nós falamos inglês.	NEM TODO NÓS INGLÊS FALAR
Ela o fará em 24 horas.	ELE 24 HORA FAZER
Os sapatos são do mesmo tamanho.	MESMO SAPATOS TAMANHO
Eu estou planejando visitar seu país nesse inverno.	EU SEU ESSE PAÍS INVERNO VISITAR PLANEJANDO
Eu perdi meu relógio e então tenho que comprar outro.	EU RELÓGIO MEU PERDER SÓ ENTÃO OUTRO COMPRAR
Eu aprendi a cozinhar sob a tutela da minha irmã.	EU TUTELA MULHER IRMÃO MEU COZINHAR APRENDER
John é louco por música pop.	JOHN LOUCO MÚSICA POP
Dizem que um novo restaurante foi construído.	RESTAURANTE CONSTRUIR DIZER
Ele me disse para ser gentil com os outros.	ELE EU DIZER OUTROS GENTIL
Ele parece ter ficado doente por um bom tempo.	ELE DOENTE TEMPO BOM FICAR PARECER
Você deve vir mais cedo para que ele leia seu manuscrito antes do seu discurso.	CEDO MAIS VOCÊ ELE SEU MANUSCRITO DISCURSO SEU LER ANTES VIR DEVER
Quando um sólido derrete, ele torna-se líquido.	QUANDO SÓLIDO DERRETE ELE LÍQUIDO TORNAR
Eu não sei qual é a origem do rumor.	ORIGEM EU QUAL RUMOR NÃO_SABER {NÃO}(headshake)
Mesmo seus defeitos não diminuem o meu respeito por você. E na amizade é isso que conta.	MESMO SEU DEFEITOS RESPEITO MEU VOCÊ DIMINUIR NÃO SÓ ISSO AMIZADE CONTAR (NÃO)
É totalmente proibido fumar aqui.	TOTAL AQUI FUMAR
Fumar aqui é estritamente proibido.	AQUI ESTRITO FUMAR PROIBIR
Você deve dar o livro para quem quiser ele.	VOCÊ LIVRO QUERER ELE DAR DEVER
Ando refletindo no que você me disse.	VOCÊ EU REFLETINDO ANDAR DIZER
Não encurte a manhã por acordar tarde.	MANHÃ TARDE ACORDAR ENCURTAR (NÃO)
Eu posso ter cometido um erro.	EU ERRO COMETER PODER
Talvez eu tenha cometido um erro.	TALVEZ EU ERRO COMETER
Este é o povoado onde eu nasci.	ESPERA AÍ ESTE POVOADO EU NASCER
Ele não deve vir aqui novamente.	NOVAMENTE ELE AQUI VIR DEVER (NÃO)
Ele não deve vir aqui de novo.	NOVO ELE AQUI VIR DEVER (NÃO)
Ele devia ter comprado alguns lápis.	ELE ALGUM LÁPIS COMPRAR DEVER
Ele é o Bach dos tempos atuais.	ELE BACH TEMPOS ATUAIS
Acredita-se que esse foi o lugar onde ele morreu.	ESPERA AÍ ESSE ELE LUGAR ACREDITAR IR MORRER
Cachorros nadam.	CACHORROS NADAR
Cachorros sabem nadar.	CACHORROS NADAR SABER
Eles estão querendo nos ajudar.	ELES AJUDAR QUERER
O professor mal tinha entrado na sala quando paramos de conversar.	MAL PROFESSOR SALA ENTRAR QUANDO CONVERSAR NÓS PARAR
Sua vida era cheia de altos e baixos.	SEU VIDA CHEIO ALTOS SÓ BAIXOS
Eu escuto rádio toda noite.	EU TODO RÁDIO NOITE ESCUTAR
Eu perdi o livro que você me emprestou.	EU VOCÊ LIVRO EU PERDER EMPRESTAR
Ele correu para dentro da sala de aula.	DENTRO ELE SALA CORRER
Essa fita não cola.	FITA ESSE COLAR (NÃO)
A causa da morte dele ainda continua um mistério.	AINDA CAUSA MORTE DELE MISTÉRIO CONTINUAR
É muito caro.	CARO
É caro demais.	CARO DEMAIS
As mulheres são fisicamente mais fracas do que os homens.	FISICAMENTE MULHER MULHER HOMEM FRACAS DO QUE
Essa camisa é muito pequena para eu vestir.	ESSE CAMISA PEQUENO EU VESTIR
Esta camisa é muito curta para mim.	ESTE CAMISA CURTO EU
Os computadores nos salvam de perdas de tempo e de problemas.	NÓS COMPUTADORES PERDAS TEMPO SÓ PROBLEMA SALVAR
Se estiver chovendo amanhã, o jogo será adiado.	AMANHÃ SE JOGO CHOVER ADIAR
John é meu irmão mais novo.	JOHN NOVO IRMÃO MEU MAIS
Helen e Kathy alugaram um apartamento num subúrbio de Tóquio.	HELEN SÓ KATHY APARTAMENTO SUBÚRBIO TÓQUIO ALUGAR
É proibido conversar na biblioteca.	BIBLIOTECA PROIBIR
Não é permitido conversar na biblioteca.	CONVERSAR BIBLIOTECA PERMITIR (NÃO)
Se você puder venha conosco.	SE VOCÊ CONOSCO VIR PODER
Venha com a gente se você puder.	VOCÊ PODER GENTE VIR
Eu sou uma parte importante.	EU IMPORTANTE PARTE
As garotas dançaram no ginásio.	MULHER GAROTO GINÁSIO PATAS DANÇAR
Nós queremos deixar uma Terra limpa e verde para os nossos descendentes.	NÓS LIMPO NOSSO SÓ VERDE DESCENDENTES TERRA DEIXAR QUERER
Eu quero contatá-lo. Você tem o número de telefone dele?	{EU CONTATÁ LO QUERER VOCÊ TELEFONE NÚMERO DELE TER}(q)
