Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Meu pai tem um restaurante.	PAI RESTAURANTE MEU TER
Um cavalo é um animal.	CAVALO ANIMAL
Feche bem a porta.	PORTA FECHAR
Eu logo dormi quando cheguei em casa.	LOGO EU DORMIR QUANDO CASA EU CHEGAR
Muitas pessoas foram convidadas para a cerimônia.	PESSOA CERIMÔNIA MUITAS CONVIDAR
O golfe agora está ao alcance de todos.	AGORA GOLFE ALCANCE TODO
Tom é um amigo meu.	DT(T-O-M) AMIGO MEU
Você deve estudar violino todo dia.	VOCÊ TODO VIOLINO DIA ESTUDAR DEVER
Você deve praticar com o violino todo dia.	VOCÊ TODO VIOLINO DIA PRATICAR DEVER
Não se esqueça de me ligar assim que você chegar lá.	ASSIM VOCÊ EU CHEGAR LÁ LIGAR ESQUECER (NÃO)
A aritmética lida com números.	ARITMÉTICO LIDA NÚMEROS
A aritmética mexe com números.	ARITMÉTICA NÚMEROS MEXER
Eu concordo com você que nós devíamos tentar de novo.	NOVO EU NÓS VOCÊ CONCORDAR TENTAR DEVER
Sempre que você estiver livre venha e me veja.	SEMPRE QUE LIVRE EU VER
Um chiclete pregou no meu sapato.	CHICLETE SAPATO MEU PREGAR
Um chiclete pregou na sola do meu sapato.	CHICLETE SOLA SAPATO MEU PREGAR
Um chiclete ficou preso embaixo do meu sapato.	EMBAIXO CHICLETE PRESO SAPATO MEU FICAR
Eu prefiro pagamento total do que pagamento em partes.	TOTAL DO QUE EU PAGAMENTO PAGAMENTO PARTES PREFERIR
Eles têm a mesma idade.	MESMA ELES IDADE TER
Elas são da mesma idade.	ELAS MESMA IDADE
Isso aconteceu somente há um ano atrás.	SOMENTE ISSO HAVER ANO ATRÁS ACONTECER
Essa carne cheira mal.	MAL CARNE ESSE CHEIRAR
Meus pais amam um ao outro.	UM AO OUTRO PAIS MEU ELES AMAR
Você pode manter o barulho baixo?	{VOCÊ BARULHO BAIXO MANTER PODER}(q)
Ele morreu logo após o acidente.	LOGO ELE ACIDENTE MORRER
Os prisioneiros foram libertados.	PRISIONEIROS LIBERTAR
É fácil ler esse livro.	FÁCIL ESSE LIVRO LER
Ele já disse sim.	JÁ ELE SIM DIZER
A bateria acabou.	BATERIA ACABAR
A bateria morreu.	BATERIA MORRER
O inverno acabou e a primavera começou.	INVERNO ACABAR PRIMAVERA COMEÇAR
Semana passada cinco alunos não vieram para a aula.	ALUNO SEMANA 5 AULA PASSADO VIR (NÃO)
Ele colocou a chave na mesa, como de costume.	COMO ELE CHAVE MESA COSTUME COLOCAR
Como sempre, ele pôs a chave na mesa.	COMO SEMPRE ELE CHAVE MESA PÔR
Não fale mal dele na sua ausência.	MAL SEU AUSÊNCIA DELE ELE FALIR (NÃO)
Ele não teve muita educação.	ELE MUITA EDUCAÇÃO NÃO_TER {NÃO}(headshake)
Nós ouvimos a explosão e vimos a casa explodir em chamas.	NÓS EXPLOSÃO OUVIR CASA CHAMAS EXPLODIR NÓS VIR
Eu não acredito que essas coisas existam.	ESSE COISA EU EXISTIR ACREDITAR (NÃO)
Eu estou correndo há mais de quatro horas.	EU 4 HAVER HORA MAIS CORRER
Você fica bem de verde.	BEM VOCÊ VERDE FICAR
Sua mãe está tentando acabar com nosso casamento.	SEU MÃE CASAMENTO NOSSO ACABAR TENTAR
Ele deu água para a senhorita.	ELE ÁGUA SENHOR PEQUENO DAR
Não se baseie no relógio da sala para ter a hora certa.	CERTO RELÓGIO SALA TER HORA ELE BASEAR (NÃO)
Eu me espantei com a velocidade do carro.	EU VELOCIDADE EU CARRO ESPANTAR
Oi, Tom. Bom dia.	OI DT(T-O-M) DIA
Ele está preocupado com outra coisa.	ELE OUTRO PREOCUPAR COISA
Você se divertiu nadando e surfando?	{VOCÊ NADAR DIVERTIR SURFAR}(q)
Nós temos que ter alguma razão para viver.	NÓS ALGUM RAZÃO TER VIVER
É mal educação comer em trens e ônibus no Japão.	MAL EDUCAÇÃO TRENS ÔNIBUS JAPÃO COMER
Meu tio trabalha nesse escritório.	TIO MEU ESSE ESCRITÓRIO TRABALHAR
Abra a sua conta.	ABRA CONTA SEU
Abra o programa e insira uma tabela com 3 colunas e 8 linhas.	ABRA PROGRAMA TABELA 3 COLUNA ELE INSERIR
Aparece uma janela de propriedades.	JANELA PROPRIEDADES APARECER
Faça duplo clique no ícone.	DUPLO CLIQUE ÍCONE ELE FAZER
O que você acha que eu estive fazendo?	{O VOCÊ QUE EU FAZER ACHAR}(q)
A participação dos muçulmanos na política é de fundamental importância na sociedade.	PARTICIPAÇÃO FUNDAMENTAL MUÇULMANOS POLÍTICA SOCIEDADE IMPORTÂNCIA
Eles riram do erro dele.	ELES ERRO DELE RIR
Bill trabalha com venda de carros.	DT(B-I-L-L) VENDA CARROS TRABALHAR
Livrai-nos do mal.	NÓS MAL LIVRAR
Livre-nos do mal.	MAL EU LIVRAR
O trabalho de Bill é vender carros.	TRABALHO DT(B-I-L-L) VENDER CARROS
Ela espalhou a fofoca por toda a cidade.	CIDADE FOFOCA TODA A ESPALHAR
Ela espalhou o boato para a cidade inteira.	INTEIRO BOATO CIDADE ELE ESPALHAR
O gato estava brincando com um rato vivo.	VIVO GATO RATO BRINCAR
Eu fumo cigarro.	EU FUMO CIGARRO
Essa decisão depende do espaço e tempo disponível.	DISPONÍVEL DECISÃO ESSE ESPAÇO TEMPO DEPENDER
Quando há 14 anos começou a plantar morangos.	QUANDO ANO HAVER 14 MORANGO PLANTAR COMEÇAR
É uma planta muito decorativa.	DECORATIVO PLANTA
É muito importante respeitar as regras.	IMPORTANTE RESPEITAR REGRAS
Trata-se de um restaurante com comida típica finlandesa.	TÍPICO FINLANDÊS RESTAURANTE COMIDA ELE TRATAR
Que maior prova de amor existe quando partilhamos nossos mais profundos desejos com a outra pessoa?	PROVA NOSSO OUTRO AMOR DESEJOS PESSOA PARTILHAR PROFUNDOS MAIS EXISTIR QUANDO (NÃO)
Ele nunca mais visitará a cidade novamente.	NOVAMENTE ELE CIDADE MAIS VISITAR NUNCA NÃO
Ele nunca vai visitar a cidade de novo.	NOVO ELE CIDADE VISITAR NUNCA NÃO
Ela tentou várias vezes, mas não conseguiu.	VÁRIOS MULHER VEZ ELE TENTAR MAS ELE CONSEGUIR (NÃO)
Ele hesitou por um instante.	ELE INSTANTE HESITAR
A criança está suja.	CRIANÇA SUJO
Vamos separar esse dinheiro para nossa viagem de verão.	NOSSO ESSE VIAGEM DINHEIRO VERÃO SEPARAR
É melhor você ter certeza que ele está em casa antes de ligar para ele.	MELHOR ANTES VOCÊ CERTEZA DELE CASA TER DELE LIGAR
Hoje estou muito ocupado.	HOJE OCUPAR
Estou bastante ocupado hoje.	HOJE BASTANTE
Esse tipo de coisa não acontece muito.	TIPO ESSE COISA ACONTECER (NÃO)
Esse tipo de coisa não ocorre frequentemente.	FREQUENTE TIPO ESSE COISA OCORRER (NÃO)
A multidão está ficando cada vez maior.	CADA VEZ MAIOR MULTIDÃO FICAR
Ele teve lucro de dez mil dólares na venda.	ELE 10000 LUCRO DÓLAR VENDA TER
Adivinha! Eu vou estudar na Nova Zelândia!	ADIVINHA EU NOVA ZELÂNDIA ESTUDAR
Ela só se interessa por peixes e baratas.	SÓ PEIXES BARATAS ELE INTERESSAR
Ela ficou muito surpresa com a notícia.	SURPRESA NOTÍCIA ELE FICAR
Como ela não me escreveu, eu não sei quando ela vai chegar.	EU COMO EU ESCREVER NÃO_SABER QUANDO CHEGAR {NÃO}(headshake)
O menino esticou o braço para pegar outra fatia de bolo.	MENINO OUTRO BRAÇO FATIA BOLO PEGAR ESTICAR
Eu tenho dois ingressos para o Teatro Imperial.	EU INGRESSO 2 TEATRO IMPERIAL TER
Seus olhos passaram por todas as coisas da loja.	SEU OLHO TODAS AS COISA LOJA PASSADO
Seria melhor se você não a visse agora.	MELHOR VOCÊ A VER AGORA (NÃO)
Por favor, mostre-me sua foto.	EU FOTO SEU MOSTRAR
Ela descobriu prazer na leitura.	PRAZER LEITURA ELE DESCOBRIR
O Pacífico é muito largo.	PACÍFICO LARGO
Ninguém é tão ocupado a ponto de não ter tempo de ler.	TÃO NINGUÉM PONTO TEMPO OCUPAR LER NÃO_TER {NÃO}(headshake)
Você não deve comer muito.	VOCÊ COMER DEVER (NÃO)
Eu vou te emprestar alguns livros do meu irmão.	MEU EU ALGUM TU LIVRO IRMÃO EMPRESTAR
Um inglês não pronunciaria isso dessa forma.	INGLÊS ISSO FORMA PRONUNCIAR (NÃO)
Um inglês não pronunciaria isso dessa maneira.	INGLÊS ISSO MANEIRA PRONUNCIAR (NÃO)
Um inglês não pronunciaria isso desse jeito.	INGLÊS ISSO JEITO PRONUNCIAR (NÃO)
Ele pode fazer o que ele quiser com o dinheiro.	ELE ELE O DINHEIRO FAZER PODER QUERER
Ela casou-se com ele com 20 anos.	DELE DELE 20 ANO CASAR
Ele desistiu da escola semana passada.	ELE ESCOLA PASSADO PASSADO
Eu não posso e nem quero ir.	EU PODER NÃO NEM IR EU QUERER (NÃO)
Essa é a primeira vez.	ESSA PRIMEIRO VEZ
Tudo que você tem que fazer é acreditar em mim.	QUE TUDO VOCÊ EU ACREDITAR FAZER
Esse trem chega em Chicago às 9 horas da noite de hoje.	HOJE TREM ESSE 9 CHICAGO HORA NOITE CHEGAR
Como a maioria das doenças, ela tem os seus próprios sintomas.	COMO PRÓPRIOS MAIORIA DOENÇAS SINTOMAS SEU ELE TER
Parece que Jack está doente.	DT(J-A-C-K) PARECER DOENTE
Ele superou muitas dificuldades.	ELE DIFICULDADES MUITAS SUPERAR
Você lembra do dia em que nos encontramos pela primeira vez?	{PELA PRIMEIRA VEZ VOCÊ DIA NÓS LEMBRAR ENCONTRAR}(q)
Essa pintura é atribuída a Picasso.	PINTURA ESSE DT(P-I-C-A-S-S-O) ATRIBUIR
Memorize o poema para a próxima semana.	PRÓXIMO POEMA SEMANA ELE MEMORIZAR
Decore o poema até a próxima semana.	PRÓXIMO POEMA SEMANA ELE DECORAR
Eu nado bem.	BEM EU NADAR
Eu gosto de correr na chuva.	EU CHUVA CORRER GOSTAR
É o Egito que ele quer visitar.	EGITO ELE QUERER VISITAR
Áreas úmidas e tempestuosas vão se tornar mais úmidas e tempestuosas.	ÁREAS ÚMIDAS TEMPESTUOSAS MAIS ÚMIDAS TORNAR
Ele não pôde fazer nada além de desistir do seu plano contra a sua vontade.	SEU SEU NADA ELE DESISTIR PLANO VONTADE FAZER PODER (NÃO)
Tony quebrou essa mesa.	DT(T-O-N-Y) ESSE MESA QUEBRAR
Quem quebrou essa mesa foi Tony.	QUEM ESSE MESA QUEBRAR DT(T-O-N-Y) IR
Certifique-se de onde ele está agora.	ONDE ELE CERTIFICAR ELE AGORA
Tenha certeza de onde ele se encontra nesse momento.	ONDE ELE ESSE CERTEZA MOMENTO TER ENCONTRAR
Vou te mostrar meu carro novo.	NOVO EU IR CARRO MEU MOSTRAR
Estou com vontade de comer alguma coisa.	VONTADE ALGUM COISA COMER
Estou a fim de comer algo.	COMER ALGO
O rio que corre por Paris é o Sena.	RIO PARIS SENA CORRER
Eu levei uma forte picada de uma vespa.	FORTE EU PICADA VESPA LEVAR
Eu levei uma picada horrível de um marimbondo.	HORRÍVEL EU PICADA MARIMBONDO LEVAR
Por favor, mantenha contato.	CONTATO ELE MANTER
Eles estão se divertindo muito.	ELES DIVERTIR
Essa carta deve ser escrita em inglês?	{ESSE CARTA ESCREVER INGLÊS ESCREVER DEVER}(q)
Você tem duas flores.	VOCÊ 2 MULHER FLOR TER
A companhia tem um capital de 500 mil.	COMPANHIA CAPITAL 1000 TER
A universidade apresenta a exposição fotográfica com uma centena de imagens.	FOTOGRÁFICO UNIVERSIDADE EXPOSIÇÃO CENTENA MULHER IMAGEM APRESENTAR
É na Escola de Futebol de Peter que são formados os melhores futebolistas.	MELHORES FUTEBOLISTAS ESCOLA FUTEBOL PETER FORMAR
Sabe quem são os jogadores da Liga?	LIGA SABER JOGADORES QUEM (NÃO)
Há um ano a cidade italiana de Áquila foi abalada por um terremoto de magnitude 6,3 na escala de Richter.	ITALIANO CIDADE HAVER ANO ÁQUILA TERREMOTO 6,3 MAGNITUDE ESCALA RICHTER ABALAR
Parte da ilha ficou devastada pelas ondas gigantes.	PARTE ILHA GIGANTES ONDAS DEVASTAR FICAR
O tremor também deixou 150 mortos.	TAMBÉM TREMOR 150 MORTO DEIXAR
A cidade está completamente devastada.	COMPLETAMENTE CIDADE DEVASTAR
Mary Hat esteve esta semana em Nova Orleães.	DT(M-A-R-Y) DT(H-A-T) ESTE SEMANA NOVA ORLEÃES
A epilepsia pode ter várias origens.	EPILEPSIA VÁRIOS MULHER ORIGEM TER PODER
Os problemas com a ereção podem ter várias causas.	PROBLEMA VÁRIOS EREÇÃO CAUSAS TER ELES PODER
A disfunção eréctil pode ser um sinal de que algo vai mal no organismo.	MAL DISFUNÇÃO ALGO PODER SINAL ORGANISMO IR
Venda de ouro pelos bancos centrais pode ser um sinal de compra.	VENDA OURO PODER BANCOS SINAL COMPRA
Quase todas as séries americanas dos últimos anos foram escritas por homossexuais.	QUASE SÉRIES ÚLTIMO AMERICANAS ANOS TODAS AS HOMOSSEXUAIS ESCREVER
Alguém conhece esta agência de viagens?	{ALGUÉM ESTE MULHER VIAGEM AGÊNCIA CONHECER}(q)
Alguém conhece algum festival de rock que decorra durante as férias da páscoa?	{ALGUÉM ALGUM FESTIVAL ROCK FÉRIAS PÁSCOA CONHECER DECORRER}(q)
É um dos maiores festivais de verão de música.	FESTIVAIS VERÃO MÚSICA
Então não hesite.	ELE HESITAR AINDA_{NÃO}(headshake)
Preencha o formulário seguinte.	SEGUINTE FORMULÁRIO PREENCHER
Posteriormente será enviado um e-mail de confirmação.	POSTERIOR E MAIL CONFIRMAÇÃO ENVIAR
O site será automaticamente adaptado.	AUTOMATICAMENTE SITE ADAPTAR
Os guardas prisionais vão estar em greve durante três dias a partir da meia-noite.	GREVE GUARDA 3 DIA MULHER MEIA NOITE
35% dos comboios circularam durante a greve.	35 COMBOIO GREVE ELES CIRCULAR
O empregador não pode substituir os grevistas.	EMPREGADOR GREVISTAS SUBSTITUIR PODER (NÃO)
O mercado de capitais já não é o mesmo de há uns anos atrás.	JÁ MESMO UM MERCADO HAVER MULHER CAPITAL ANOS ATRÁS (NÃO)
O mercado de trabalho não está saturado.	MERCADO TRABALHO SATURAR (NÃO)
A minha língua não se encontra na lista!	LÍNGUA MEU LISTA ENCONTRAR (NÃO)
Como era bom sentir o teu abraço!	COMO BOM TEU SENTIR ABRAÇO
Não há nada como uma caminhada.	COMO NADA CAMINHADA HAVER (NÃO)
Ele é melhor que todos.	ELE MELHOR TODO
1, 3 e 5 são números ímpares.	1 5 ÍMPAR NÚMERO
Não, ela nunca se apaixonou.	ELE APAIXONAR NUNCA {NÃO}(headshake)
Eu nunca me apaixonei por nenhuma garota.	EU NENHUM EU MULHER GAROTO APAIXONAR NUNCA NÃO
Eu me arrependo de ter me apaixonado por uma garota como ela.	EU EU MULHER GAROTO COMO APAIXONAR ARREPENDER
Ele confessou que tinha se apaixonado por mim.	ELE APAIXONAR EU CONFESSAR
Ela nunca se apaixonou.	ELE APAIXONAR NUNCA NÃO
Ela já se apaixonou alguma vez?	{JÁ ALGUM VEZ ELE APAIXONAR}(q)
Graças a você eu perdi meu apetite.	EU MEU VOCÊ APETITE PERDER
Eu perdi minha inspiração.	EU INSPIRAÇÃO MEU PERDER
A teoria científica que eu mais gosto é a de que os anéis de Saturno são compostos inteiramente de bagagens perdidas.	TEORIA MAIS EU GOSTO ANÉIS A SATURNO MULHER BAGAGEM COMPOR PERDER
Não é possível você se perder em grandes cidades, pois há mapas por toda parte.	POIS POSSÍVEL VOCÊ TODO PERDER HAVER CIDADES MAPAS PARTE (NÃO)
Você deve recuperar para ele o dinheiro que ele perdeu.	VOCÊ ELE DINHEIRO ELE RECUPERAR DEVER PERDER
A não ser que você tome uma decisão rápida, a oportunidade será perdida.	RÁPIDO A NÃO SER QUE VOCÊ OPORTUNIDADE TOMAR DECISÃO PERDER
Seria divertido ver como as coisas mudam ao passar dos anos.	COMO COISA DIVERTIR VER ELES MUDAR PASSADO ANOS PASSADO
Me informe se eu preciso fazer alguma mudança.	EU INFORMAR SE EU ALGUM FAZER PRECISAR
O que modifica o mundo é comunicação, não informação.	O MUNDO COMUNICAÇÃO INFORMAÇÃO MODIFICAR (NÃO)
O passado só pode ser conhecido, não mudado. O futuro só pode ser mudado, não conhecido.	SÓ PASSADO CONHECER CONHECER PODER MUDAR NÃO SÓ FUTURO MUDAR PODER CONHECER NÃO CONHECER (NÃO)
Negando que ela era uma anarquista, Katja insistia que ela somente desejava fazer mudanças no nosso governo, não destruí-lo.	SOMENTE DT(K-A-T-J-A) QUE ELA NOSSO O ANARQUISTA NEGAR INSISTIR DESEJAR GOVERNO FAZER (NÃO)
Eu mudei o layout da minha página.	EU LAYOUT PÁGINA MEU MUDAR
Não é mais forte das espécies que sobrevive, nem a mais inteligente, mas a que responde mais rápido a mudanças.	FORTE ESPÉCIES MAIS SOBREVIVER NEM MAIS INTELIGENTE MAS MAIS A RÁPIDO RESPONDER (NÃO)
As pessoas deveriam entender que o mundo está mudando.	PESSOA MUNDO DEVER MUDAR ENTENDER
Ele mudou muito desde a última vez.	ÚLTIMO ELE VEZ MUDAR
Não tenho nada melhor para fazer.	MELHOR NADA FAZER EU NÃO_TER {NÃO}(headshake)
Nada se consegue sem esforço.	NADA ESFORÇO CONSEGUIR
A maioria dos grandes descobertas científicas são nada menos que a descoberta do óbvio.	MAIORIA DESCOBERTAS ÓBVIO DESCOBERTA MENOS
As pessoas que amam não duvidam de nada. Ou duvidam de tudo.	PESSOA NADA AMAR DUVIDAR NÃO OU TUDO ELES DUVIDAR (NÃO)
A segunda metade da vida de um homem não é nada mais além do que os hábitos que ele adquiriu na primeira metade.	ALÉM MAIS HÁBITOS ELE METADE NADA VIDA HOMEM DO QUE PRIMEIRO METADE ADQUIRIR (NÃO)
Na nossa cultura, não podemos nos casar com duas mulheres de uma vez.	UMA VEZ CULTURA MULHER MULHER NOSSO 2 CASAR NÓS PODER (NÃO)
Oi, como vai o negócio?	OI NEGÓCIO COMO (NÃO)
Oi, John! Como vai?	OI DT(J-O-H-N) ELE IR COMO (NÃO)
Oi, Meg, como você anda?	OI VOCÊ DT(M-E-G) COMO (NÃO)
Por favor, dê um alô à sua mulher.	FAVOR ALÔ MULHER SEU EU DAR
Alô. Aqui é Ogawa falando.	ALÔ AQUI DT(O-G-A-W-A)
Alô, sou eu. Você poderia vir me buscar na estação?	{ALÔ EU EU VOCÊ ESTAÇÃO VIR BUSCAR PODER}(q)
Oi, eu sou Tomoko Sato, do Japão.	OI EU DT(T-O-M-O-K-O) DT(S-A-T-O) DT(J-A-P-Ã-O)
Alô, esse é o departamento de pessoal?	{ALÔ PESSOAL ESSE DEPARTAMENTO}(q)
Oi, esse é o departamento de recursos humanos?	{OI ESSE RECURSOS HUMANOS DEPARTAMENTO}(q)
Alô. É da casa dos Goto?	{ALÔ GOTO CASA}(q)
O Brasil nos fornece boa parte do nosso café.	NÓS BOM BRASIL PARTE CAFÉ NOSSO FORNECER
Eu me pergunto que língua é falada no Brasil.	EU LÍNGUA EU BRASIL PERGUNTAR FALAR
Nenhum outro esporte é tão popular quanto futebol no Brasil.	TÃO ESPORTE NENHUM OUTRO FUTEBOL POPULAR QUANTO BRASIL
Andy deve ter praticado muito.	DT(A-N-D-Y) PRATICAR DEVER
Faz dez anos desde que nos encontramos pela última vez.	DESQUE 10 ANO NÓS ENCONTRAR ÚLTIMO VEZ FAZER
Para vir para essa escola é necessário ter muito dinheiro.	ESSE NECESSÁRIO VIR ESCOLA TER DINHEIRO
Com os preços dos carros tão altos, agora é a pior hora para comprar.	TÃO ALTOS AGORA PIOR HORA PREÇOS CARROS COMPRAR
Você não devia comer tantos doces.	VOCÊ TANTO DOCE COMER DEVER (NÃO)
O fato é, eu acho, muito importante.	FATO EU ACHAR IMPORTANTE
Ela virou-se e sorriu.	ELE VIRAR ELE SORRIR
Não se esqueça do ingresso.	INGRESSO ELE ESQUECER (NÃO)
Não diga isso.	ISSO ELE DIZER (NÃO)
Traga-o para mim.	EU O TRAGAR
Por favor, escreva logo de volta.	LOGO VOLTA ELE ESCREVER
Nós esperamos que você goste do show.	NÓS VOCÊ GOSTAR SHOW ESPERAR
Mande lembranças minhas para seus pais.	LEMBRANÇAS SEU MEU PAIS ELE MANDAR
Não. Me desculpe, eu tenho que voltar cedo.	NÃO EU DESCULPAR EU VOLTAR
Me desculpe. Eu retiro o que disse.	EU DESCULPAR EU O RETIRAR DIZER
Essa maçã é muito vermelha.	MAÇÃ ESSE VERMELHO
Aquele violão é tão caro que eu não posso comprá-lo.	TÃO EU VIOLÃO CARO AQUELE COMPRAR PODER (NÃO)
Vou lhe mostrar algumas fotos.	ALGUM LHE FOTOS MOSTRAR
Agora eu me lembro.	AGORA EU EU LEMBRAR
Que surpresa!	SURPRESA
Não olhe para trás.	TRÁS ELE OLHAR (NÃO)
Está quente hoje.	HOJE QUENTE
Eu me lembro da primeira vez.	PRIMEIRO EU EU VEZ LEMBRAR
Responda a pergunta.	PERGUNTA ELE RESPONDER
Eu normalmente lavo a louça.	NORMAL EU LOUÇA LAVAR
Tragam seus filhos com vocês.	FILHOS SEU VOCÊS TRAGAR
Eu te mostrarei a cidade.	EU CIDADE MOSTRAR
Não se esqueça que temos tarefa de casa.	TER TAREFA CASA ESQUECER (NÃO)
Eu não vou voltar.	EU VOLTAR (NÃO)
Agora eu estou no aeroporto.	AGORA EU AEROPORTO
Eu voltarei.	EU VOLTAR
Não há nada faltando.	NADA FALTAR HAVER (NÃO)
Pais amam seus filhos.	PAIS FILHOS SEU AMAR
É o do meu irmão.	MEU O IRMÃO
Apague a luz. Eu não consigo dormir.	LUZ ELE APAGAR EU DORMIR (NÃO)
Acenda a luz. Eu não consigo ver nada.	LUZ ELE ACENDER EU NADA VER CONSEGUIR (NÃO)
Eu não vou fazer isso outra vez.	OUTRA VEZ EU ISSO FAZER (NÃO)
Traga-o para dentro.	DENTRO O TRAGAR
Tenho certeza de que ela logo voltará.	LOGO CERTEZA TER VOLTAR
Ela é muito bonita.	BONITO
Me mostre outro exemplo.	EU OUTRO EXEMPLO MOSTRAR
Te vejo amanhã na biblioteca.	AMANHÃ TU VER BIBLIOTECA
Você vai se perder.	VOCÊ PERDER
A pergunta é essa.	PERGUNTA ESSA
A parte boa desse dicionário eletrônico é que ele é fácil de carregar.	PARTE ELE DICIONÁRIO FÁCIL CARREGAR
O que há de novo?	{NOVO O HAVER}(q)
Amanhã é Natal.	AMANHÃ NATAL
Não gosto de visitar cidades grandes.	CIDADES GRANDE VISITAR EU GOSTAR (NÃO)
É rude falar de boca cheia.	RUDE FALAR BOCA CHEIO
É má-educação falar com a boca cheia.	MULHER MÁ EDUCAÇÃO FALAR BOCA CHEIO
Preciso de alguém.	PRECISO ALGUÉM
A conversa diplomática ajudou a pôr fim ao conflito.	CONVERSA FIM CONFLITO PÔR AJUDAR
Nós temos um cachorro preto e branco.	PRETO NÓS CACHORRO BRANCO TER
Eu peguei borboletas com uma rede.	EU BORBOLETAS REDE PEGAR
Francês e inglês são falados no Canadá.	FRANCÊS INGLÊS CANADÁ FALAR
Ele mesmo fez o trabalho.	MESMO ELE TRABALHO FAZER
Sr. Wood não teve filhos.	SR. DT(W-O-O-D) FILHOS NÃO_TER {NÃO}(headshake)
Eu cuidarei das suas coisas quando você morrer.	EU COISA SEU CUIDAR QUANDO VOCÊ MORRER
Ele chegou atrasado à escola ontem.	ONTEM ELE ESCOLA ATRASAR CHEGAR
Eu emprestei 500 dólares para ele sem juros.	EU DÓLAR DELE 500 JURO EMPRESTAR
Eu queria ser tão jovem quanto você.	TÃO EU JOVEM QUERER VOCÊ
Um quadrado tem quatro lados iguais.	IGUAL QUADRADO 4 LADO TER
Você fala japonês?	{VOCÊ JAPONÊS FALAR}(q)
Qual é o número do ônibus que eu pego para ir para Waikiki?	NÚMERO EU ÔNIBUS IR WAIKIKI PEGAR QUAL (NÃO)
Por que você veio ao Japão?	{VOCÊ JAPÃO VIR}(q)
Eu ajudei meu pai ontem.	ONTEM EU PAI MEU AJUDAR
Eu ajudei ele ontem.	ONTEM EU ELE AJUDAR
Bill corre mais rápido do que Bob.	DT(B-O-B) DT(B-I-L-L) RÁPIDO MAIS DO QUE CORRER
Eu não gosto dele por ele ser gentil, mas porque ele é honesto.	EU DELE GENTIL DELE GOSTAR NÃO MAS PORQUE ELE HONESTO (NÃO)
A impressora na mesa de Peter está quebrada e não imprime mais.	MULHER IMPRESSOR MESA DT(P-E-T-E-R) QUEBRAR MAIS ELE IMPRIMIR (NÃO)
Os cursos começam às 8 horas.	CURSO 8 HORA COMEÇAR
O homem que você viu ontem é meu tio.	ONTEM HOMEM VOCÊ MEU TIO VER
É o computador no qual ele escreveu seu artigo.	COMPUTADOR ELE ARTIGO SEU ESCREVER
Ele trabalha para um grande jornal que tem uma grande tiragem.	ELE GRANDE TIRAGEM JORNAL TRABALHAR TER
Tom fala mais devagar do que Bill.	DEVAGAR DT(T-O-M) DO QUE MAIS DT(B-I-L-L) FALAR
A paisagem por aqui é muito bonita.	AQUI PAISAGEM BONITO
Aprendemos pela experiência que homens nunca aprendem nada pela experiência.	HOMEM NADA EXPERIÊNCIA EXPERIÊNCIA APRENDER APRENDER NUNCA NÃO
Dizem que o amor é cego.	AMOR DIZER CEGO
